time,open,high,low,close,Volume
1307107800,25.79,25.79,25.08,25.18,NaN
1307367000,25.55,25.58,24.95,25.11,NaN
1307453400,25.49,25.77,25.26,25.66,NaN
1307539800,25.95,26.78,25.95,26.09,NaN
1307626200,25.06,25.31,24.79,25.14,NaN
1307712600,24.9,24.92,23.92,24.38,NaN
1307971800,25.08,25.1,23.92,24.09,NaN
1308058200,23.53,23.75,22.79,23.19,NaN
1308144600,23.23,24.54,23.12,24.43,NaN
1308231000,24.26,24.5,23.51,23.86,NaN
1308317400,23.81,24.34,23,23.94,NaN
1308576600,24,24.29,23.56,23.85,NaN
1308663000,24.86,25.32,24.72,25,NaN
1308749400,25.31,25.58,25.03,25.44,NaN
1308835800,25.77,26.4,25.6,25.76,NaN
1308922200,25.97,26.93,25.96,26.48,NaN
1309181400,26.77,27.93,26.71,27.84,NaN
1309267800,28.51,29.25,28.44,28.63,NaN
1309354200,29.09,29.13,26.35,26.36,NaN
1309440600,24.04,24.08,22.96,23.29,NaN
1309527000,23.16,23.16,20.98,20.98,NaN
1309872600,22.59,22.69,21.7,21.99,NaN
1309959000,21.5,21.7,20.99,21,NaN
1310045400,21.5,22.55,21.42,22.41,NaN
1310131800,22.62,23.72,22.61,23.54,NaN
1310391000,24.11,24.86,24.11,24.78,NaN
1310477400,23.74,24.05,23.02,23.96,NaN
1310563800,27.04,27.72,26.35,27.41,NaN
1310650200,29.91,30.79,27.33,30.17,NaN
1310736600,30.6,31.83,29.97,30.6,NaN
1310995800,28.85,29.14,28.23,29.12,NaN
1311082200,30.91,30.91,27.03,27.55,NaN
1311168600,28.32,28.36,25.81,26.22,NaN
1311255000,25.68,26.62,25.32,25.85,NaN
1311341400,25.71,26.42,25.67,26.26,NaN
1311600600,24.25,24.33,23.37,24.02,NaN
1311687000,23.51,23.59,22.87,22.99,NaN
1311773400,21.9,22.58,21.82,22.32,NaN
1311859800,22.21,22.21,20.44,21.49,NaN
1311946200,21.75,22.37,21.48,22.18,NaN
1312205400,21.59,22.36,21.49,22.32,NaN
1312291800,22.29,23.39,22.29,23.12,NaN
1312378200,22.64,22.78,21.75,21.95,NaN
1312464600,21.87,22.01,21.26,21.55,NaN
1312551000,22.91,24.71,22.04,22.57,NaN
1312810200,24.88,25.96,24.59,25.93,NaN
1312896600,25.33,25.35,24.44,25.05,NaN
1312983000,25.04,25.27,23.97,24.04,NaN
1313069400,22.41,22.41,21.16,21.83,NaN
1313155800,21.47,21.47,20.65,20.87,NaN
1313415000,20.9,21.01,20.65,20.9,NaN
1313501400,20.76,20.94,20.48,20.58,NaN
1313587800,21.58,21.64,21.12,21.64,NaN
1313674200,21.19,22.29,21.17,22.27,NaN
1313760600,21.97,22.23,21.74,22.13,NaN
1314019800,23.01,23.15,22.53,22.85,NaN
1314106200,22.39,23.62,22.38,23.28,NaN
1314192600,22.67,23.03,22.11,23.01,NaN
1314279000,22.29,23.15,22.19,23.1,NaN
1314365400,23.43,25.6,23.39,23.99,NaN
1314624600,24.06,25.35,23.74,25.18,NaN
1314711000,24.72,26.55,24.68,25.94,NaN
1314797400,26.22,27.59,25.84,25.99,NaN
1314883800,25.53,26.54,25.05,25.26,NaN
1314970200,24.95,24.99,23.77,23.81,NaN
1315315800,24.47,26.33,23.96,23.96,NaN
1315402200,23.8,24.84,23.05,23.43,NaN
1315488600,24.25,25.23,22.82,23.46,NaN
1315575000,23.22,25.6,23.22,24.86,NaN
1315834200,20.93,24.19,20.31,23.69,NaN
1315920600,22.13,24.1,21.86,22.18,NaN
1316007000,22.44,24.94,22.41,23,NaN
1316093400,22.77,24.53,22.12,22.14,NaN
1316179800,22.45,25.14,21.7,24.6,NaN
1316439000,21.7,22.3,21.55,22.27,NaN
1316525400,22.41,22.7,22.35,22.56,NaN
1316611800,22.51,24.4,22.51,23.2,NaN
1316698200,29.76,30.66,23.88,27.3,NaN
1316784600,27.87,32.61,27.67,29.81,NaN
1317043800,30.52,35,29.4,29.43,NaN
1317130200,27.68,28.09,26.48,26.61,NaN
1317216600,28.89999,33.7,26.56,28.89999,NaN
1317303000,28.5,28.5,27.22,28.00999,NaN
1317389400,28.00999,30.75999,26.24001,28.49001,NaN
1317648600,28.49001,29.82001,27.99001,29.8,NaN
1317735000,30.08,31.62,30.08,31.12,NaN
1317821400,29.62,29.62,28.24001,29.37,NaN
