time,open,high,low,close,Volume
1481554800,21.02,21.07,20.14,20.15,NaN
1481558400,20.17,20.26,20.13,20.16,NaN
1481562000,20.15,20.2,20.11,20.16,NaN
1481565600,20.15,20.16,19.79,19.8,NaN
1481569200,19.79,19.86,19.77,19.84,NaN
1481637600,19.37,19.37,18.85,19.09,NaN
1481641200,19.1,19.8,19.1,19.75,NaN
1481644800,19.74,19.75,19.54,19.64,NaN
1481648400,19.65,19.76,19.62,19.67,NaN
1481652000,19.68,19.81,19.65,19.79,NaN
1481655600,19.8,19.82,19.67,19.78,NaN
1481724000,20.21,20.24,19.27,19.56,NaN
1481727600,19.55,19.64,19.42,19.52,NaN
1481731200,19.53,19.58,19.37,19.4,NaN
1481734800,19.41,19.45,19.38,19.38,NaN
1481738400,19.39,19.44,19.36,19.44,NaN
1481742000,19.43,19.44,19.34,19.39,NaN
1481810400,19.37,19.49,19.05,19.08,NaN
1481814000,19.07,19.74,18.99,19.73,NaN
1481817600,19.74,19.87,19.03,19.39,NaN
1481821200,19.38,19.38,19.03,19.31,NaN
1481824800,19.3,19.33,18.95,18.95,NaN
1481828400,18.96,18.96,18.87,18.89,NaN
1481896800,19.44,19.66,19.42,19.62,NaN
1481900400,19.63,19.9,19.61,19.66,NaN
1481904000,19.68,19.7,19.31,19.51,NaN
1481907600,19.52,19.59,19.42,19.53,NaN
1481911200,19.54,19.57,19.46,19.52,NaN
1481914800,19.51,19.52,19.3,19.44,NaN
1482156000,19.56,19.59,19.45,19.5,NaN
1482159600,19.51,19.6,19.39,19.53,NaN
1482163200,19.54,19.56,19.29,19.49,NaN
1482166800,19.46,19.55,19.43,19.49,NaN
1482170400,19.51,19.59,19.45,19.53,NaN
1482174000,19.54,19.56,19.48,19.54,NaN
1482242400,19.47,19.77,19.45,19.66,NaN
1482246000,19.61,19.79,19.6,19.72,NaN
1482249600,19.71,19.74,19.51,19.59,NaN
1482253200,19.6,19.6,19.18,19.25,NaN
1482256800,19.24,19.63,19.2,19.63,NaN
1482260400,19.62,19.66,19.59,19.62,NaN
1482328800,19.46,19.48,19.29,19.3,NaN
1482332400,19.32,19.44,19.28,19.35,NaN
1482336000,19.36,19.4,18.56,18.91,NaN
1482339600,18.9,18.95,18.71,18.71,NaN
1482343200,18.72,18.76,18.62,18.7,NaN
1482346800,18.69,18.72,18.42,18.43,NaN
1482415200,18.49,18.52,18.32,18.35,NaN
1482418800,18.36,18.36,17.7,17.7,NaN
1482422400,17.67,17.7,17.35,17.39,NaN
1482426000,17.42,17.55,17.4,17.42,NaN
1482429600,17.41,17.51,17.3,17.32,NaN
1482433200,17.31,17.59,17.28,17.59,NaN
1482501600,18.29,18.44,17.86,17.86,NaN
1482505200,17.88,17.93,17.69,17.72,NaN
1482508800,17.73,17.76,17.57,17.62,NaN
1482512400,17.61,17.75,16.65,16.65,NaN
1482516000,16.66,16.73,7.66,7.72,NaN
1482519600,7.73,7.73,7.73,7.73,NaN
1482847200,17.72,17.96,17.72,17.77,NaN
1482850800,17.76,17.96,17.52,17.56,NaN
1482854400,17.55,17.6,17.33,17.47,NaN
1482858000,17.48,17.49,17.23,17.26,NaN
1482861600,17.25,17.47,17.2,17.45,NaN
1482865200,17.46,17.5,17.42,17.43,NaN
1482933600,17.49,17.75,17.49,17.67,NaN
1482937200,17.65,17.66,16.78,16.91,NaN
1482940800,16.89,16.91,16.7,16.8,NaN
1482944400,16.79,16.87,16.62,16.65,NaN
1482948000,16.64,16.76,16.62,16.76,NaN
1482951600,16.74,16.85,16.71,16.84,NaN
1483020000,17.26,17.96,17.26,17.95,NaN
1483023600,17.92,18.15,17.8,18.08,NaN
1483027200,18.07,18.09,17.76,17.99,NaN
1483030800,17.98,18.17,17.96,18.04,NaN
1483034400,18.05,18.06,17.77,17.83,NaN
1483038000,17.84,17.87,17.81,17.83,NaN
1483106400,17.81,18.16,17.81,18.12,NaN
1483110000,18.11,18.2,18.07,18.14,NaN
1483113600,18.13,18.55,18.12,18.53,NaN
1483117200,18.54,18.57,18.33,18.33,NaN
1483120800,18.3,18.38,18.25,18.29,NaN
1483124400,18.28,18.34,18.19,18.25,NaN
1483452000,19.19,19.19,18.51,18.51,NaN
1483455600,18.54,18.63,18.42,18.62,NaN
1483459200,18.6,18.81,18.6,18.78,NaN
