time,open,high,low,close,Volume
1183593600,37.78,37.95,37.51,37.89,8853
1183680000,37.93,38.46,37.86,38.28,8927
1183939200,38.4,38.7,38.07,38.51,9652
1184025600,38.51,38.93,38.32,38.93,14669
1184112000,38.9,39.1,38.69,38.72,12627
1184198400,38.76,39.09,38.64,38.94,13967
1184284800,38.82,39.14,38.71,39.01,11729
1184544000,38.75,38.95,38.04,38.2,14266
1184630400,38,38.54,37.61,38.01,28969
1184716800,38.01,38.71,38.01,38.59,17737
1184803200,38.6,38.79,38.25,38.76,12616
1184889600,38.79,39.21,38.43,38.5,17768
1185148800,38.36,38.36,37.06,37.75,24736
1185235200,37.76,38.19,37.51,37.84,17436
1185321600,37.84,38.05,37.55,37.67,10608
1185408000,37.73,38.12,37.4,37.59,16456
1185494400,37.55,37.95,37.48,37.82,10305
1185753600,37.85,38.55,37.85,38.49,15353
1185840000,38.54,38.95,38.36,38.92,14414
1185926400,38.93,39.05,38.19,38.36,17789
1186012800,38.35,38.75,38.33,38.35,12306
1186099200,38.36,38.53,38.21,38.33,10219
1186358400,38.24,38.24,37.4,37.52,17691
1186444800,37.52,37.78,37.25,37.71,12877
1186531200,37.71,38.35,37.61,38.14,13298
1186617600,38.14,38.22,37.7,37.7,11721
1186704000,37.75,37.99,36.75,37.26,17648
1186963200,37.45,37.72,37.34,37.35,8545
1187049600,37.33,37.42,36.63,36.67,17248
1187136000,36.71,36.95,36.34,36.52,15730
1187222400,36.52,36.61,34.53,35,36227
1187308800,35,36.12,34.73,36.05,21547
1187568000,35.95,35.95,35.47,35.79,17997
1187654400,35.78,36.09,35.53,35.58,13833
1187740800,35.63,36.05,35.5,35.82,13659
1187827200,35.81,36.47,35.76,35.98,10543
1187913600,35.98,36.72,35.96,36.67,14496
1188172800,36.59,36.9,36.17,36.89,12044
1188259200,36.7,36.94,36.55,36.82,10602
1188345600,36.8,37.28,36.41,36.99,16421
1188432000,37.01,37.4,36.94,37.05,16287
1188518400,37.07,37.5,37.03,37.11,14660
1188864000,37.47,37.97,37.26,37.87,19997
1188950400,37.87,38.25,37.66,38,21867
1189036800,38,38.03,37.69,37.74,13477
1189123200,37.74,38.1,37.57,37.91,14830
1189382400,37.91,38.35,37.87,38.32,13156
1189468800,38.32,38.62,38.22,38.45,12564
1189555200,38.49,39.77,38.45,39.52,33109
1189641600,39.51,39.72,39.23,39.67,15730
1189728000,39.7,40.15,39.61,40.02,18552
1189987200,40.02,40.46,40,40.21,16836
1190073600,40.21,40.49,39.72,39.89,18049
1190160000,40.1,40.2,39.52,39.7,19326
1190246400,39.73,40.14,39.53,39.94,15432
1190332800,40,40.09,39.42,39.52,15880
1190592000,39.52,39.98,39.44,39.83,14053
1190678400,39.8,39.99,39.17,39.19,19665
1190764800,39.18,39.54,39.07,39.54,19657
1190851200,39.62,40.42,39.54,40.35,26956
1190937600,40.35,40.59,39.93,40,19399
1191196800,40,40.29,39.61,39.63,21853
1191283200,39.65,39.72,38.03,38.6,37065
1191369600,38.59,38.91,38.22,38.7,22567
1191456000,38.7,39.29,38.53,39.18,22840
1191542400,39.19,39.35,38.91,39.03,19872
1191801600,39,39.17,38.42,38.48,23899
1191888000,38.44,39.15,38.33,38.99,22107
1191974400,39.05,39.58,39.04,39.47,19533
1192060800,39.54,40.04,39.41,39.97,23175
1192147200,39.97,40.37,39.53,39.53,23418
