time,open,high,low,close,Volume
1738942861,45.69,45.69,45.69,45.69,1
1738942867,45.7,45.7,45.7,45.7,3
1738942870,45.7,45.7,45.7,45.7,1
1738942871,45.7,45.7,45.7,45.7,2
1738942875,45.7,45.7,45.7,45.7,5
1738942878,45.69,45.69,45.69,45.69,2
1738942881,45.69,45.72,45.69,45.72,14
1738942884,45.72,45.73,45.72,45.73,5
1738942886,45.72,45.72,45.72,45.72,2
1738942888,45.71,45.71,45.71,45.71,1
1738942895,45.71,45.71,45.71,45.71,3
1738942899,45.72,45.72,45.72,45.72,2
1738942900,45.73,45.74,45.72,45.72,13
1738942906,45.72,45.72,45.72,45.72,1
1738942913,45.73,45.78,45.73,45.78,95
1738942914,45.78,45.78,45.78,45.78,2
1738942924,45.78,45.8,45.78,45.8,6
1738942925,45.8,45.8,45.8,45.8,72
1738942926,45.81,45.81,45.81,45.81,1
1738942929,45.82,45.82,45.82,45.82,2
1738942936,45.82,45.82,45.82,45.82,2
1738942939,45.82,45.82,45.82,45.82,1
1738942950,45.82,45.82,45.82,45.82,6
1738942955,45.82,45.82,45.81,45.81,2
1738942962,45.82,45.84,45.82,45.82,90
1738942966,45.81,45.81,45.81,45.81,6
1738942979,45.81,45.81,45.81,45.81,4
1738942981,45.81,45.81,45.81,45.81,1
1738942982,45.81,45.81,45.8,45.8,5
1738942987,45.8,45.8,45.8,45.8,2
1738942990,45.8,45.8,45.8,45.8,1
1738942992,45.8,45.8,45.8,45.8,3
1738942993,45.81,45.81,45.81,45.81,1
1738942996,45.81,45.82,45.81,45.82,7
1738942997,45.82,45.82,45.82,45.82,4
1738943009,45.82,45.83,45.82,45.83,40
1738943012,45.84,45.84,45.81,45.81,10
1738943017,45.81,45.81,45.81,45.81,2
1738943019,45.82,45.82,45.82,45.82,6
1738943020,45.81,45.81,45.78,45.79,26
1738943021,45.79,45.79,45.79,45.79,2
1738943022,45.8,45.8,45.8,45.8,9
1738943025,45.8,45.8,45.8,45.8,4
1738943031,45.8,45.8,45.8,45.8,2
1738943032,45.8,45.8,45.8,45.8,1
1738943037,45.8,45.8,45.8,45.8,1
1738943042,45.79,45.8,45.78,45.78,12
1738943044,45.78,45.78,45.78,45.78,15
1738943057,45.78,45.78,45.78,45.78,2
1738943061,45.78,45.78,45.78,45.78,1
1738943062,45.77,45.77,45.77,45.77,2
1738943063,45.77,45.77,45.77,45.77,2
1738943065,45.77,45.77,45.77,45.77,1
1738943070,45.76,45.77,45.76,45.77,4
1738943073,45.77,45.77,45.77,45.77,1
1738943075,45.77,45.77,45.77,45.77,1
1738943084,45.78,45.79,45.78,45.79,25
1738943085,45.79,45.81,45.79,45.81,50
1738943086,45.8,45.8,45.8,45.8,1
1738943106,45.79,45.79,45.79,45.79,4
1738943119,45.79,45.79,45.79,45.79,3
1738943121,45.8,45.8,45.8,45.8,8
1738943122,45.81,45.81,45.81,45.81,5
1738943123,45.81,45.81,45.8,45.8,3
1738943126,45.8,45.8,45.8,45.8,2
1738943128,45.8,45.8,45.8,45.8,2
1738943131,45.81,45.82,45.81,45.82,2
1738943136,45.82,45.82,45.82,45.82,12
1738943139,45.81,45.81,45.8,45.8,11
1738943140,45.79,45.79,45.79,45.79,1
1738943141,45.81,45.81,45.81,45.81,1
1738943144,45.81,45.81,45.81,45.81,2
1738943152,45.81,45.81,45.81,45.81,2
1738943154,45.81,45.81,45.81,45.81,4
1738943155,45.81,45.81,45.81,45.81,1
1738943161,45.82,45.82,45.82,45.82,4
1738943163,45.81,45.81,45.8,45.8,10
1738943166,45.8,45.8,45.8,45.8,2
1738943168,45.81,45.81,45.81,45.81,3
1738943170,45.81,45.81,45.81,45.81,13
1738943171,45.81,45.81,45.81,45.81,12
1738943174,45.8,45.8,45.8,45.8,1
1738943176,45.8,45.8,45.8,45.8,1
1738943177,45.79,45.79,45.78,45.78,3
1738943180,45.79,45.79,45.79,45.79,3
1738943188,45.78,45.78,45.78,45.78,2
1738943191,45.77,45.77,45.76,45.76,2
1738943197,45.77,45.77,45.77,45.77,10
1738943198,45.76,45.76,45.76,45.76,3
1738943203,45.76,45.76,45.76,45.76,1
1738943210,45.77,45.77,45.77,45.77,2
1738943212,45.76,45.76,45.76,45.76,2
1738943220,45.76,45.76,45.76,45.76,1
1738943224,45.77,45.77,45.77,45.77,9
1738943226,45.77,45.77,45.77,45.77,1
