time,open,high,low,close,Volume
1712804400,47.47,47.48,47.42,47.44,27
1712808000,47.45,47.46,47.37,47.37,67
1712811600,47.38,47.4,47.31,47.35,172
1712815200,47.35,47.37,47.28,47.28,249
1712818800,47.27,47.34,47.2,47.26,265
1712822400,47.25,47.32,47.21,47.22,530
1712826000,47.22,47.22,47.06,47.11,1455
1712829600,47.1,47.11,46.98,46.98,592
1712833200,46.98,47,46.72,46.76,1877
1712836800,46.77,47.08,46.77,47.01,1454
1712840400,46.98,47,46.52,46.65,9284
1712844000,46.66,46.66,46.35,46.39,9367
1712847600,46.4,46.61,46.06,46.29,10888
1712851200,46.3,46.53,46.05,46.45,8402
1712854800,46.46,46.53,46.08,46.12,5794
1712858400,46.11,46.11,45.96,46.01,7743
1712880000,46.02,46.05,45.66,45.73,2780
1712883600,45.74,45.89,45.59,45.78,1429
1712887200,45.79,45.98,45.78,45.96,357
1712890800,45.95,45.99,45.88,45.88,811
1712894400,45.89,45.92,45.84,45.85,130
1712898000,45.85,45.94,45.84,45.92,125
1712901600,45.93,46.12,45.91,45.97,541
1712905200,45.98,46.13,45.89,45.93,781
1712908800,45.93,46.23,45.9,46.16,934
1712912400,46.15,46.21,46.09,46.12,375
1712916000,46.12,46.25,46.12,46.18,646
1712919600,46.19,46.3,46,46.22,1048
1712923200,46.22,46.24,46.06,46.14,977
1712926800,46.18,46.67,46.04,46.35,12020
1712930400,46.35,46.41,45.99,46.09,8436
1712934000,46.09,46.2,45.78,46,8826
1712937600,45.99,45.99,45.63,45.65,5609
1712941200,45.65,45.83,45.6,45.64,4539
1712944800,45.63,45.92,45.63,45.76,7519
1713139200,45.9,46.23,45.86,46.19,1810
1713142800,46.19,46.19,46.01,46.09,729
1713146400,46.09,46.14,46.04,46.11,334
1713150000,46.11,46.13,46.06,46.11,134
1713153600,46.11,46.22,46.08,46.22,249
1713157200,46.22,46.25,46.13,46.13,434
1713160800,46.12,46.15,45.84,45.85,999
1713164400,45.84,45.97,45.75,45.8,807
1713168000,45.8,45.94,45.78,45.9,511
1713171600,45.91,46.02,45.81,46.02,281
1713175200,46.02,46.21,46.02,46.16,600
1713178800,46.16,46.32,46.07,46.11,829
1713182400,46.12,46.17,45.94,46.07,1191
1713186000,46.01,46.13,45.75,45.89,6472
1713189600,45.89,46.21,45.56,46.05,10318
1713193200,46.05,46.07,45.84,45.98,4754
1713196800,45.97,46,45.67,45.89,5227
1713200400,45.89,45.89,45.53,45.56,6163
1713204000,45.56,45.59,45.33,45.34,5980
1713225600,45.4,45.4,45.29,45.35,558
1713229200,45.35,45.44,45.31,45.35,453
1713232800,45.35,45.42,45.25,45.29,295
1713236400,45.29,45.31,45.23,45.24,202
1713240000,45.24,45.26,45.21,45.23,69
1713243600,45.22,45.25,45.16,45.18,254
1713247200,45.16,45.19,45.03,45.04,535
1713250800,45.04,45.15,44.97,44.97,1680
1713254400,44.97,45.17,44.91,44.98,2056
1713258000,44.97,45.03,44.87,44.9,1077
1713261600,44.9,45,44.78,44.94,1242
1713265200,44.94,45.02,44.89,45,803
1713268800,45,45.04,44.9,44.95,1208
1713272400,45,45.01,44.68,44.76,6385
1713276000,44.77,45.01,44.57,44.85,7514
1713279600,44.85,45.16,44.83,44.88,3963
1713283200,44.9,44.95,44.64,44.66,2928
1713286800,44.65,44.9,44.6,44.76,4835
1713290400,44.77,45.05,44.77,44.94,5519
1713312000,44.94,44.96,44.78,44.93,615
1713315600,44.94,45,44.81,44.85,165
1713319200,44.85,44.9,44.81,44.88,103
1713322800,44.89,44.97,44.79,44.84,159
1713326400,44.84,44.85,44.7,44.74,430
1713330000,44.75,44.77,44.68,44.72,198
1713333600,44.71,44.8,44.56,44.62,900
1713337200,44.6,44.71,44.58,44.66,393
1713340800,44.66,44.86,44.64,44.84,685
1713344400,44.85,44.85,44.73,44.73,306
1713348000,44.73,44.79,44.71,44.76,204
1713351600,44.77,44.84,44.73,44.82,385
1713355200,44.83,44.9,44.72,44.86,996
1713358800,44.69,45.2,44.61,45.18,4676
1713362400,45.19,45.2,44.96,45.1,4194
1713366000,45.12,45.31,44.95,44.98,3840
1713369600,44.97,45.08,44.76,44.95,2998
1713373200,44.96,45.15,44.92,45.03,2757
1713376800,45.02,45.09,44.94,44.96,3686
1713398400,45.08,45.2,45.03,45.16,567
1713402000,45.16,45.16,45.01,45.03,174
1713405600,45.04,45.2,45.03,45.2,186
1713409200,45.21,45.24,45.15,45.19,71
1713412800,45.17,45.27,45.17,45.23,215
1713416400,45.21,45.25,45.13,45.14,120
1713420000,45.14,45.24,45.13,45.18,227
1713423600,45.19,45.2,44.91,45.02,416
1713427200,45.02,45.02,44.84,44.88,595
1713430800,44.87,44.9,44.8,44.84,201
1713434400,44.84,44.84,44.73,44.76,224
1713438000,44.76,44.94,44.68,44.88,1096
1713441600,44.89,44.91,44.62,44.71,1055
1713445200,44.72,44.96,44.41,44.65,6025
1713448800,44.66,44.94,44.59,44.62,4150
1713452400,44.61,44.71,44.43,44.43,3748
1713456000,44.43,44.54,44.22,44.33,4163
1713459600,44.34,44.38,44.2,44.3,3046
1713463200,44.3,44.3,43.79,43.85,7253
1713484800,43.98,43.98,43.5,43.6,1301
1713488400,43.58,44.38,43.51,44.35,1755
1713492000,44.35,44.66,44.3,44.57,1197
1713495600,44.58,44.59,44.36,44.38,344
1713499200,44.39,44.44,44.16,44.18,156
1713502800,44.2,44.29,44.18,44.24,77
1713506400,44.23,44.35,43.99,44.11,588
1713510000,44.1,44.13,43.9,43.97,638
1713513600,43.94,43.94,43.67,43.88,1137
1713517200,43.93,44.02,43.85,43.98,362
1713520800,43.96,44,43.82,43.82,369
1713524400,43.85,43.85,43.57,43.58,570
1713528000,43.59,43.84,43.58,43.8,669
1713531600,43.78,44.03,43.69,43.73,2736
1713535200,43.74,44.3,43.73,44.18,3697
1713538800,44.18,44.24,44,44.06,2313
1713542400,44.06,44.23,43.87,44.22,2180
1713546000,44.23,44.5,44.17,44.44,3356
1713549600,44.43,44.44,44.33,44.4,2900
1713744000,45,45.31,44.98,45.05,1710
1713747600,45.04,45.11,45.01,45.09,380
1713751200,45.09,45.14,44.96,44.98,441
1713754800,44.97,45.03,44.94,45,411
1713758400,45,45.04,44.96,45.01,199
1713762000,45.03,45.04,44.99,44.99,377
1713765600,45,45.12,44.97,45.01,870
1713769200,45.01,45.1,44.91,45.08,632
1713772800,45.06,45.25,45.03,45.17,1012
1713776400,45.2,45.35,45.14,45.28,910
1713780000,45.27,45.35,45.27,45.29,381
1713783600,45.29,45.32,45.24,45.27,582
1713787200,45.27,45.38,45.23,45.26,919
1713790800,45.23,45.37,44.99,45.31,7196
1713794400,45.32,45.85,45.26,45.83,12383
1713798000,45.84,45.95,45.64,45.69,10326
1713801600,45.69,46.12,45.67,46.04,6852
1713805200,46.03,46.04,45.67,45.67,7241
1713808800,45.68,45.75,45.59,45.67,6273
1713830400,45.65,45.78,45.51,45.72,1098
1713834000,45.71,45.86,45.67,45.8,986
1713837600,45.8,46.07,45.76,46.05,1291
1713841200,46.06,46.09,45.97,46.07,524
1713844800,46.08,46.1,46.01,46.01,296
1713848400,46.03,46.07,45.91,45.92,245
1713852000,45.91,45.98,45.84,45.86,653
1713855600,45.87,46.07,45.87,46.03,483
1713859200,46.02,46.03,45.85,45.88,690
1713862800,45.88,45.98,45.79,45.81,1441
1713866400,45.81,45.81,45.71,45.77,470
1713870000,45.76,45.78,45.51,45.55,1786
1713873600,45.55,45.59,45.47,45.56,1120
1713877200,45.56,45.83,45.43,45.5,10797
1713880800,45.5,45.69,45.29,45.56,9069
1713884400,45.57,45.95,45.41,45.83,5814
1713888000,45.84,46.05,45.79,45.98,3777
1713891600,45.97,46.01,45.82,45.96,4069
1713895200,45.96,45.97,45.77,45.83,3670
1713916800,45.89,45.93,45.82,45.87,415
1713920400,45.88,45.97,45.86,45.91,285
1713924000,45.91,45.94,45.82,45.83,150
1713927600,45.83,45.87,45.81,45.85,103
1713931200,45.85,45.88,45.84,45.88,48
1713934800,45.86,45.95,45.86,45.95,119
1713938400,45.95,45.98,45.87,45.9,272
1713942000,45.89,45.93,45.73,45.74,858
1713945600,45.74,45.88,45.7,45.73,550
1713949200,45.73,45.79,45.59,45.6,1268
1713952800,45.6,45.72,45.58,45.65,942
1713956400,45.66,45.69,45.58,45.6,503
1713960000,45.6,45.72,45.48,45.54,1517
1713963600,45.49,45.92,45.38,45.68,8974
1713967200,45.69,45.86,45.35,45.54,8561
1713970800,45.53,45.75,45.17,45.17,8942
1713974400,45.17,45.36,45.1,45.31,4987
1713978000,45.3,45.39,45.22,45.27,5046
1713981600,45.27,45.39,45.22,45.27,5021
1714003200,45.27,45.32,45.11,45.2,1079
1714006800,45.19,45.22,45.11,45.14,332
1714010400,45.13,45.19,45.11,45.11,328
1714014000,45.13,45.16,45.05,45.09,461
1714017600,45.09,45.1,45.08,45.09,111
1714021200,45.09,45.1,45.04,45.09,291
1714024800,45.09,45.17,45.07,45.17,455
1714028400,45.16,45.18,45.1,45.18,418
1714032000,45.18,45.47,45.17,45.43,1159
1714035600,45.43,45.47,45.21,45.34,878
1714039200,45.33,45.34,45.19,45.23,644
1714042800,45.22,45.34,45.2,45.28,535
1714046400,45.29,45.46,45.2,45.23,1002
1714050000,45.2,45.43,45,45.38,8127
1714053600,45.37,45.41,44.82,44.98,6138
1714057200,44.98,44.98,44.63,44.88,7922
1714060800,44.88,45.12,44.81,45.04,4681
1714064400,45.04,45.44,45.04,45.41,6124
1714068000,45.41,45.5,45.36,45.48,4824
1714089600,45.44,45.65,45.44,45.62,1032
1714093200,45.63,45.69,45.59,45.64,352
1714096800,45.65,45.68,45.57,45.58,145
1714100400,45.6,45.65,45.57,45.64,127
1714104000,45.65,45.72,45.64,45.66,337
1714107600,45.65,45.75,45.65,45.73,229
1714111200,45.74,45.74,45.64,45.67,497
1714114800,45.66,45.75,45.54,45.56,612
1714118400,45.55,45.61,45.49,45.51,273
1714122000,45.53,45.61,45.45,45.51,299
1714125600,45.5,45.6,45.5,45.53,371
1714129200,45.55,45.62,45.36,45.49,760
1714132800,45.49,45.58,45.37,45.56,1176
1714136400,45.63,45.73,45.44,45.5,5339
1714140000,45.5,45.74,45.45,45.54,6431
1714143600,45.54,45.67,45.44,45.64,4316
1714147200,45.63,45.66,45.5,45.56,3019
1714150800,45.57,45.58,45.27,45.52,5396
1714154400,45.51,45.67,45.5,45.56,6465
1714348800,45.56,45.9,45.56,45.84,2515
1714352400,45.84,45.91,45.7,45.74,1082
1714356000,45.75,45.97,45.67,45.94,875
1714359600,45.93,45.94,45.9,45.92,249
1714363200,45.91,45.91,45.86,45.87,180
1714366800,45.86,45.93,45.86,45.93,123
1714370400,45.93,45.96,45.7,45.78,1273
1714374000,45.78,45.79,45.58,45.66,955
1714377600,45.67,45.71,45.56,45.64,910
1714381200,45.63,45.84,45.58,45.76,1191
1714384800,45.77,45.78,45.63,45.69,694
1714388400,45.68,45.75,45.58,45.61,768
1714392000,45.62,45.72,45.58,45.6,1591
1714395600,45.68,45.85,45.59,45.59,9711
1714399200,45.59,45.63,44.96,45.05,11969
1714402800,45.04,45.15,44.81,44.87,7632
1714406400,44.88,44.98,44.79,44.86,5292
1714410000,44.86,44.9,44.38,44.45,12065
1714413600,44.45,44.47,44.3,44.37,8557
1714435200,44.31,44.33,43.74,43.87,4855
1714438800,43.88,43.92,43.74,43.75,1785
1714442400,43.76,43.83,43.7,43.75,836
1714446000,43.75,43.76,43.62,43.69,701
1714449600,43.69,43.7,43.65,43.67,156
1714453200,43.66,43.66,43.48,43.53,1432
1714456800,43.52,43.66,43.5,43.66,1231
1714460400,43.65,43.65,43.32,43.35,2361
1714464000,43.34,43.38,43.26,43.28,2810
1714467600,43.29,43.35,43.1,43.12,2466
1714471200,43.11,43.23,43.02,43.17,2326
1714474800,43.17,43.32,43.13,43.26,2317
1714478400,43.26,43.28,43.1,43.15,2753
1714482000,43.14,43.31,42.81,42.82,13717
1714485600,42.83,43.15,42.68,42.77,17630
1714489200,42.77,43.19,42.7,43.11,9236
1714492800,43.12,43.28,42.89,43.1,8433
1714496400,43.1,43.28,42.95,43.02,6340
1714500000,43.02,43.07,42.94,43.04,4605
1714521600,43.13,43.3,42.94,43.06,2847
1714525200,43.05,43.06,43.01,43.03,243
1714528800,43.03,43.08,43.02,43.07,230
1714532400,43.06,43.13,43.01,43.1,322
1714536000,43.09,43.1,43.02,43.08,178
1714539600,43.08,43.12,43.04,43.07,190
1714543200,43.07,43.23,43.05,43.18,721
1714546800,43.19,43.21,43.12,43.18,669
1714550400,43.18,43.31,43.18,43.3,1114
1714554000,43.29,43.31,43.14,43.14,365
1714557600,43.14,43.22,43.01,43.06,904
1714561200,43.07,43.16,43.06,43.09,477
1714564800,43.08,43.36,43.08,43.34,1496
1714568400,43.37,43.75,43.07,43.68,13636
1714572000,43.66,43.7,43.16,43.17,11254
1714575600,43.17,43.42,43.04,43.24,6485
1714579200,43.23,43.3,43.1,43.26,4395
1714582800,43.26,43.4,43.12,43.39,4265
