time,open,high,low,close,Volume
1738584840,296.2,296.2,296.2,296.2,9
1738584900,296.3,296.3,296.3,296.3,6
1738584960,296.2,296.2,296.2,296.2,2
1738585020,296.1,296.1,296.1,296.1,1
1738585080,296.1,296.1,296.1,296.1,1
1738585140,296.1,296.1,296.1,296.1,6
1738585200,296.1,296.3,296.1,296.2,13
1738585260,296.3,296.3,296.2,296.2,4
1738585320,296.2,296.3,296.2,296.3,5
1738585380,296.4,296.4,296.3,296.4,14
1738585440,296.4,296.5,296.4,296.5,7
1738585500,296.5,296.5,296.3,296.3,10
1738585560,296.3,296.3,296.3,296.3,8
1738585620,296.2,296.3,296.2,296.3,6
1738585680,296.4,296.5,296.4,296.4,11
1738585740,296.4,296.4,296.3,296.3,10
1738585800,296.3,296.4,296.3,296.3,59
1738585860,296.3,296.3,296.3,296.3,5
1738585920,296.2,296.3,296.2,296.3,6
1738585980,296.2,296.3,296.2,296.2,4
1738586040,296.3,296.4,296.3,296.3,37
1738586100,296.3,296.3,296.3,296.3,3
1738586160,296.3,296.3,296.2,296.2,7
1738586220,296.2,296.3,296.2,296.3,19
1738586280,296.1,296.2,296.1,296.2,3
1738586340,296.2,296.2,296.1,296.1,13
1738586400,296,296,295.9,295.9,39
1738586460,296,296,296,296,9
1738586520,295.9,296,295.9,295.9,37
1738586580,295.8,296,295.8,296,9
1738586640,295.9,295.9,295.8,295.8,11
1738586700,295.9,295.9,295.9,295.9,8
1738586760,295.8,295.8,295.7,295.7,41
1738586820,295.8,295.8,295.7,295.8,54
1738586880,295.7,295.7,295.6,295.6,90
1738586940,295.6,295.6,295.6,295.6,13
1738587000,295.5,295.5,295.5,295.5,20
1738587060,295.5,295.5,295.5,295.5,1
1738587120,295.4,295.4,295.3,295.4,51
1738587180,295.4,295.4,295.3,295.3,6
1738587240,295.3,295.3,295.3,295.3,43
1738587300,295.3,295.3,295.3,295.3,8
1738587360,295.3,295.3,295.3,295.3,10
1738587420,295.4,295.4,295.3,295.3,44
1738587480,295.4,295.4,295.4,295.4,13
1738587540,295.4,295.4,295.4,295.4,36
1738587600,295.4,295.9,295.4,295.9,327
1738587660,295.9,296.4,295.8,296.3,73
1738587720,296.3,296.3,296.1,296.2,18
1738587780,296.2,296.2,296.1,296.1,30
1738587840,296.1,296.3,296.1,296.3,33
1738587900,296.4,296.7,296.4,296.7,113
1738587960,296.7,297.4,296.6,297.2,603
1738588020,297.2,297.5,297.1,297.4,351
1738588080,297.4,297.5,297.2,297.5,76
1738588140,297.4,297.4,297,297.3,76
1738588200,297.4,297.7,297.3,297.6,88
1738588260,297.5,298,297.5,297.9,54
1738588320,297.9,298.2,297.8,297.9,182
1738588380,297.9,298,297.7,297.8,45
1738588440,297.8,298,297.8,298,20
1738588500,297.9,298,297.8,297.9,40
1738588560,297.7,297.8,297.6,297.7,24
1738588620,297.7,297.9,297.5,297.9,52
1738588680,298,298,297.9,297.9,18
1738588740,298,298.1,297.8,297.9,187
1738588800,297.8,297.9,297.8,297.9,10
1738588860,297.8,297.8,297.6,297.7,45
1738588920,297.7,297.7,297.5,297.5,132
1738588980,297.4,297.6,297.4,297.5,35
1738589040,297.5,297.5,297.2,297.4,65
1738589100,297.3,297.3,297,297.1,159
1738589160,296.9,297.1,296.6,296.6,355
1738589220,296.5,296.6,296.4,296.4,94
1738589280,296.4,296.6,296.4,296.4,39
1738589340,296.4,296.5,296.4,296.5,9
1738589400,296.5,296.6,296.5,296.6,17
1738589460,296.6,296.6,296.5,296.5,24
1738589520,296.6,296.6,296.5,296.5,10
1738589580,296.5,296.5,296.2,296.2,44
1738589640,296.2,296.3,296.1,296.3,38
1738589700,296.4,296.5,296.3,296.5,96
1738589760,296.6,296.8,296.6,296.6,59
1738589820,296.7,296.8,296.7,296.7,11
1738589880,296.6,296.9,296.4,296.5,589
1738589940,296.5,296.8,296.5,296.7,62
1738590000,296.8,296.8,296.5,296.7,40
1738590060,296.7,296.8,296.6,296.6,22
1738590120,296.6,296.6,296.4,296.5,123
1738590180,296.6,296.8,296.6,296.8,46
1738590240,296.8,297.1,296.8,297.1,34
1738593000,297.3,297.6,296.6,297.1,921
1738593060,297.1,297.9,297,297.2,498
1738593120,297.2,297.9,297,297.5,146
1738593180,297.6,298,297.4,297.4,384
1738593240,297.5,298.2,297.1,298.2,154
1738593300,298.1,298.2,297.8,298,393
1738593360,297.9,298.3,297.7,298.1,242
1738593420,298.2,298.2,297.8,297.9,244
1738593480,298.1,298.7,298.1,298.6,220
1738593540,298.5,299.1,298.5,299,527
1738593600,299,299,298.2,298.5,174
1738593660,298.5,298.5,298,298,235
1738593720,297.8,297.9,297.5,297.7,83
1738593780,297.7,298,297.5,298,103
1738593840,298,298,297.5,298,86
1738593900,298,298,297.5,297.6,98
1738593960,297.6,297.8,297.3,297.7,115
1738594020,297.7,298.1,297.7,298.1,83
1738594080,298.1,298.1,297.9,298.1,66
1738594140,298.1,298.5,298.1,298.4,75
1738594200,298.4,298.5,298.2,298.5,78
1738594260,298.5,298.6,298.3,298.5,160
1738594320,298.4,298.9,298.4,298.9,353
1738594380,298.9,299.3,298.8,299.3,261
