time,open,high,low,close,Volume
1175644800,214.2,216.5,211.7,213.2,8883
1175731200,212.9,214.6,211.8,213,5547
1176076800,214.4,217.8,208.9,209.4,8543
1176163200,209.6,210,203.8,204.8,10276
1176249600,205,205.9,202.9,205.1,6688
1176336000,204.5,205,200.2,200.9,16168
1176422400,201.5,201.7,198.7,199.3,8427
1176681600,198.7,201.1,196.7,199.5,9141
1176768000,205.3,205.3,201.9,203.6,5047
1176854400,203.6,204.3,202.6,203.2,10204
1176940800,203.2,205.7,202.9,203.2,9080
1177027200,203.2,204.8,201.5,202.1,7122
1177286400,202.1,202.7,200.2,201.6,12578
1177372800,201.6,201.6,196.1,196.7,15425
1177459200,196.8,202.6,196.4,198.3,18994
1177545600,198.5,200.5,198.2,200,13522
1177632000,199.3,200.6,197.8,198.2,14002
1177891200,197,201,196.7,198.8,12965
1177977600,198.3,205.3,197.9,203.7,12364
1178064000,204,205.4,200.1,201.1,11360
1178150400,201,203.7,199.5,200.6,12912
1178236800,200.6,204.1,199.7,202.5,10142
1178496000,204.5,212.7,200.7,201.5,10441
1178582400,200.9,201.5,198.9,199.8,9878
1178668800,199.9,202.3,199.7,201.9,7393
1178755200,202,202.5,197.6,198.9,11483
1178841600,198.9,204.3,198.2,201.8,13115
1179100800,201.8,207.1,201.8,206.5,15048
1179187200,206,208.8,205.1,208.2,9799
1179273600,208,213.9,208,213.2,14280
1179360000,213.2,214.8,212.1,212.7,8308
1179446400,213.2,214.2,211,212,8821
1179705600,211.3,216.5,210.7,215.5,10657
1179792000,215,217.9,213.8,214.8,10392
1179878400,214.4,218.9,213.1,218.9,9312
1179964800,218.9,221.3,215.8,217.2,12049
1180051200,217.2,219.8,216.7,218.2,10148
1180396800,217.8,218,213.9,214.4,9771
1180483200,214.1,218.5,213,216.8,12226
1180569600,216.8,219,213.6,216.9,11819
1180656000,216.9,221.8,216.1,221.4,14567
1180915200,221.6,223.5,220,220.4,12076
1181001600,220.9,224.2,220.5,223.6,14984
1181088000,223.5,226.7,221.5,223.9,16031
1181174400,224.3,226.7,223.2,226.2,10901
1181260800,226.8,228.8,220.8,226.2,14905
1181520000,228.5,233.3,228.1,230.2,13840
1181606400,229.6,231.2,227.5,229.2,11134
1181692800,228.4,230.1,226.4,230,9999
1181779200,230.5,233,228.6,230.4,10605
1181865600,230.3,235.4,229.6,235.4,11815
1182124800,243.2,248.1,243,246.6,4463
1182211200,248.3,248.3,238.2,239.3,7724
1182297600,239.4,246.6,239.3,242.9,5815
1182384000,245.4,246,232.5,235.5,8860
1182470400,235.8,236.1,225.2,226.7,10650
1182729600,226.8,230.4,226.1,230.4,9478
1182816000,230.4,232.1,228.5,230.8,7048
1182902400,230.3,232.4,226.8,228.9,10521
1182988800,228.9,229.8,226.8,228,8356
1183075200,228.7,248,227.8,240.5,16962
1183334400,240.7,250.4,240.7,247.2,16569
1183420800,247.2,247.7,241.8,243.5,10427
1183507200,243.5,243.5,243.5,243.5,10427
1183593600,245,248.2,242.7,242.9,8521
1183680000,243,245.8,243,243.6,6899
