time,open,high,low,close,Volume
1738918373,304.3,304.3,304.3,304.3,3
1738918380,304.4,304.4,304.4,304.4,2
1738918381,304.3,304.3,304.3,304.3,2
1738918439,304.4,304.4,304.4,304.4,20
1738918441,304.4,304.4,304.4,304.4,10
1738918498,304.4,304.4,304.4,304.4,2
1738918524,304.5,304.5,304.5,304.5,5
1738918548,304.4,304.4,304.4,304.4,2
1738918606,304.4,304.4,304.4,304.4,6
1738918649,304.4,304.4,304.4,304.4,1
1738918699,304.5,304.5,304.5,304.5,11
1738918748,304.5,304.5,304.5,304.5,5
1738918769,304.6,304.6,304.6,304.6,4
1738918800,304.6,304.6,304.6,304.6,1
1738918842,304.6,304.6,304.6,304.6,1
1738918886,304.6,304.7,304.6,304.6,52
1738918888,304.6,304.6,304.6,304.6,2
1738918889,304.7,304.7,304.7,304.7,1
1738918935,304.6,304.6,304.6,304.6,1
1738918991,304.7,304.7,304.7,304.7,10
1738919019,304.7,304.7,304.7,304.7,1
1738919067,304.7,304.7,304.7,304.7,6
1738919087,304.7,304.7,304.7,304.7,2
1738919102,304.7,304.7,304.7,304.7,1
1738919110,304.7,304.7,304.7,304.7,4
1738919146,304.8,304.8,304.8,304.8,3
1738919173,304.8,304.8,304.8,304.8,3
1738919207,304.9,304.9,304.9,304.9,4
1738919233,304.8,304.8,304.8,304.8,1
1738919292,304.8,304.8,304.8,304.8,1
1738919341,304.8,304.8,304.8,304.8,5
1738919349,304.8,304.8,304.8,304.8,2
1738919400,304.8,304.8,304.8,304.8,1
1738919527,304.8,304.8,304.8,304.8,5
1738919578,304.9,304.9,304.9,304.9,2
1738919616,304.8,304.8,304.8,304.8,1
1738919665,304.9,304.9,304.9,304.9,4
1738919727,305,305,305,305,1
1738919729,305,305,305,305,1
1738919730,305,305,305,305,2
1738919791,304.9,304.9,304.9,304.9,2
1738919832,304.9,304.9,304.9,304.9,8
1738919872,304.8,304.8,304.8,304.8,1
1738919886,304.9,304.9,304.9,304.9,1
1738919901,304.9,304.9,304.9,304.9,1
1738919970,304.9,304.9,304.9,304.9,1
1738920043,304.9,304.9,304.9,304.9,5
1738920080,304.9,304.9,304.9,304.9,6
1738920116,305,305,305,305,2
1738920135,304.9,304.9,304.9,304.9,1
1738920170,304.9,304.9,304.9,304.9,1
1738920204,304.9,304.9,304.9,304.9,1
1738920212,304.9,304.9,304.9,304.9,5
1738920214,304.8,304.8,304.8,304.8,2
1738920236,304.8,304.8,304.8,304.8,11
1738920239,304.8,304.8,304.8,304.8,2
1738920269,304.8,304.8,304.8,304.8,2
1738920285,304.9,304.9,304.9,304.9,1
1738920289,304.9,304.9,304.9,304.9,1
1738920323,304.8,304.8,304.8,304.8,4
1738920491,304.8,304.8,304.8,304.8,10
1738920512,304.8,304.8,304.8,304.8,1
1738920543,304.9,304.9,304.9,304.9,1
1738920558,305,305,305,305,1
1738920599,304.9,304.9,304.9,304.9,1
1738920601,304.9,304.9,304.9,304.9,3
1738920640,305,305,305,305,1
1738920722,305,305,305,305,1
1738920772,304.9,304.9,304.9,304.9,1
1738920795,304.9,304.9,304.9,304.9,2
1738920830,305,305,305,305,16
1738920838,305.1,305.1,305.1,305.1,1
1738920839,305.1,305.1,305.1,305.1,1
