time,open,high,low,close,Volume
1205193600,1417.5,1440.25,1390,1407.75,92885
1205280000,1405,1419.5,1376,1395,77580
1205366400,1393.25,1430.75,1387,1402.75,63542
1205452800,1403.75,1422.5,1352.75,1352.75,66845
1205712000,1352,1374.25,1302.75,1302.75,31918
1205798400,1254.5,1318.75,1252.75,1307,118504
1205884800,1308,1315.5,1257,1257,47701
1205971200,1229.5,1236,1207,1207,75337
1206316800,1210.75,1257,1210.75,1257,69857
1206403200,1275.75,1307,1269.5,1307,33580
1206489600,1357,1357,1325,1352,99729
1206576000,1345.5,1351.75,1325.5,1327.25,64318
1206662400,1322.25,1337.5,1258.25,1267.25,66487
1206921600,1280,1300,1197.25,1197.25,48201
1207008000,1167,1229.75,1106.5,1211,152342
1207094400,1222.25,1246.75,1187,1243,100041
1207180800,1250.25,1263.5,1231.75,1257,74229
1207267200,1260.5,1279,1254.5,1277,58681
1207526400,1275.75,1295,1245,1255,84574
1207612800,1245,1269,1245,1251.5,90172
1207699200,1255,1321.5,1254.75,1313,105418
1207785600,1317,1380.5,1314,1356,130343
1207872000,1354,1361,1327.5,1332.5,88492
1208131200,1344.25,1376.25,1319.75,1372.5,89560
1208217600,1374.5,1398,1369,1380,69358
1208304000,1379.5,1392,1333.5,1344.75,85170
1208390400,1362,1383.25,1342.75,1366.5,76781
1208476800,1368.75,1386,1330.75,1377,71715
1208736000,1377,1380,1307,1330.5,85468
1208822400,1332.75,1399.5,1322,1389.5,103106
1208908800,1394.5,1409.5,1373.75,1385.5,101774
1208995200,1384.75,1392,1350.75,1361,100105
1209081600,1358,1371.75,1331,1337,70670
1209340800,1342.5,1357.75,1279,1297.5,112154
1209427200,1304.5,1308.75,1280.25,1293.5,81268
1209513600,1293.75,1350,1281.25,1314,95839
1209600000,1318,1326.5,1244,1271,90977
1209686400,1271,1312.75,1262,1304.5,69092
1209945600,1305.25,1312.5,1281,1286,69691
1210032000,1288.25,1334,1272,1277,74170
1210118400,1280,1311.5,1275.25,1309,61565
1210204800,1312,1321,1297.5,1310,56126
1210291200,1312.5,1367.25,1308,1358,67729
1210550400,1361,1375.5,1338.25,1342.5,59659
1210636800,1349.25,1382.5,1334.75,1379.5,70604
1210723200,1380,1388,1366.5,1379.5,54758
1210809600,1379,1380,1311,1347.5,85114
1210896000,1350.5,1402,1349.5,1378,72717
1211155200,1377.25,1377.25,1321.5,1333,65873
1211241600,1340.5,1363.5,1323,1331.5,60112
1211328000,1329.25,1358,1326,1349,67742
1211414400,1350.25,1367.25,1312.5,1324.75,79457
1211500800,1324,1372,1322.75,1368,70520
1211846400,1384,1390,1340,1347.75,66697
1211932800,1345,1385,1336.5,1372.75,77931
1212019200,1372.25,1376,1307.75,1322.75,105441
1212105600,1316,1365,1308,1363.5,85600
1212364800,1357,1384.5,1353,1365.5,71215
1212451200,1364.75,1384,1346.5,1359.5,83711
1212537600,1362,1400,1348.5,1389,76842
1212624000,1392,1456,1390.25,1452,140793
1212710400,1452.75,1487.75,1448.5,1457.5,111277
1212969600,1469.25,1489.5,1446.5,1452,114141
1213056000,1453.5,1465.75,1419,1446.5,108036
1213142400,1453.5,1516.5,1452.25,1516.5,91301
1213228800,1530.75,1546.75,1492.25,1536.5,122786
1213315200,1537,1571.75,1520.25,1560,106149
1213574400,1569.75,1588.5,1523.5,1534,106190
1213660800,1520.75,1558,1513.25,1553,57115
1213747200,1550.75,1566.75,1528,1543,46065
1213833600,1546,1552.25,1491.75,1521.5,54869
1213920000,1520,1541.25,1498.5,1509,46043
1214179200,1495.75,1506.75,1473.75,1502.5,61491
1214265600,1508,1517,1480.25,1491,63608
1214352000,1491,1526.25,1480.5,1525,71804
1214438400,1526.75,1569.5,1519.5,1561.5,80058
1214524800,1560.5,1579,1551,1559.5,62785
1214784000,1559.5,1577,1530,1574,96889
1214870400,1574.75,1610,1569,1610,90508
1214956800,1608.75,1634.75,1594.5,1630,76316
1215043200,1633,1636.75,1596,1631,61393
1215388800,1615,1618,1561,1561,61309
1215475200,1560,1561.5,1481,1529.5,120231
1215561600,1529,1560,1529,1557,72196
1215648000,1560.5,1590,1546,1587,69578
1215734400,1589.75,1620,1561,1596,95553
1215993600,1583.5,1583.5,1549.25,1559,69081
1216080000,1557.25,1581.75,1515,1516,102444
1216166400,1514.5,1559.5,1488,1548,101322
1216252800,1551.5,1561,1490,1498,115667
1216339200,1495.75,1511.75,1447,1448,106508
1216598400,1441,1446.5,1401.25,1403,117501
1216684800,1404.5,1424.5,1382.25,1409,113773
1216771200,1409,1414.5,1362.5,1384,105151
1216857600,1378.5,1397.5,1356,1373,87848
1216944000,1376,1396.5,1358,1386.5,66574
1217203200,1401,1421,1380.25,1396,78480
1217289600,1401,1402.75,1351.75,1391,103036
1217376000,1396,1408,1370.25,1405,84342
1217462400,1406.5,1417,1387,1404,73318
1217548800,1401.5,1409.25,1362.75,1365,81049
1217808000,1360,1361,1295,1295,73422
1217894400,1284.25,1308.75,1251,1269,115059
1217980800,1267,1275.5,1199,1222,125909
1218067200,1225,1257.25,1222.25,1239,83474
1218153600,1245,1250.5,1173.5,1180.5,84019
1218412800,1188,1202,1168,1196,75862
1218499200,1197.5,1225,1183,1214,90461
1218585600,1218,1284,1212.5,1284,73978
1218672000,1297,1307,1241,1274,97175
1218758400,1274,1278.25,1204.25,1219,72396
1219017600,1227.75,1289,1226.5,1289,72791
1219104000,1286.5,1341,1258.25,1276,113892
1219190400,1280,1317,1275.5,1300,112591
1219276800,1304.25,1369.75,1296.5,1348,94530
1219363200,1348,1348,1314,1327,80386
1219622400,1350,1374.5,1338.5,1347,85371
1219708800,1344.75,1354.5,1308,1344.5,83088
1219795200,1347,1371,1327.5,1348,95503
1219881600,1347.5,1349,1307,1324,84157
