time,open,high,low,close,Volume
1712930400,1177,1179.75,1171.5,1171.75,28377
1712934000,1171.75,1171.75,1164.75,1169.5,12089
1712937600,1169.5,1172,1167.5,1169.5,7009
1712941200,1169.75,1171.5,1168.25,1170.75,7181
1712944800,1170.5,1174.75,1170.5,1172,9517
1713139200,1173.25,1176,1172.5,1173.75,3165
1713142800,1173.75,1174.5,1171,1172.75,1617
1713146400,1172.5,1174.5,1171.5,1174,1241
1713150000,1174,1175,1173.25,1173.25,524
1713153600,1173,1173.5,1172.5,1173.25,131
1713157200,1173,1173.5,1172,1172.5,597
1713160800,1172.25,1172.25,1168.25,1169,1862
1713164400,1169.25,1170.25,1168,1169.25,1338
1713168000,1169.5,1170.5,1168.25,1169.5,1046
1713171600,1169.5,1170,1168,1169.5,608
1713175200,1169.75,1171.25,1169.5,1171,700
1713178800,1171,1174,1170,1170.5,993
1713182400,1170.75,1171.25,1166.75,1169,2133
1713186000,1169,1169.75,1158.25,1159.25,15307
1713189600,1159.25,1162.75,1156.75,1160.75,15318
1713193200,1160.75,1164,1159.25,1160.25,6862
1713196800,1160,1162.75,1158.5,1159.75,6708
1713200400,1159.75,1161,1155.5,1159.75,9343
1713204000,1159.75,1160.5,1157,1158.5,6761
1713225600,1157.25,1159,1156.5,1157,1162
1713229200,1157,1163,1157,1162.25,2254
1713232800,1162.25,1163,1160.5,1161,1629
1713236400,1161,1161.5,1159.75,1160,467
1713240000,1160,1160,1159.5,1160,53
1713243600,1159.75,1160.25,1158.5,1159,457
1713247200,1159,1159.75,1156,1157,1796
1713250800,1157,1158.75,1155.25,1155.25,1051
1713254400,1155.5,1158.25,1154,1155.75,746
1713258000,1155.75,1157.25,1154.75,1156.75,455
1713261600,1156.75,1159.5,1155,1159.25,1686
1713265200,1159.25,1160.25,1157.25,1157.25,697
1713268800,1157.5,1157.75,1153.5,1155.25,2202
1713272400,1155.25,1157.5,1152.25,1157,8202
1713276000,1157.25,1157.5,1147.75,1148.25,15051
