"Exp Date",Symbol,"Contract Name",Last,"52W High","52W High Date","52W Low","52W Low Date","52W %Chg",Time
2006-04-21,CSK06,"Soybean Crush May 2006 Futures",79.25,79.25,2006-04-21,53.75,2006-02-28,+36.05%,2006-04-21
2006-06-23,CSN06,"Soybean Crush July 2006 Futures",78.5,84.75,2006-06-05,53.75,2006-02-28,+40.81%,2006-06-23
2006-07-21,CSQ06,"Soybean Crush August 2006 Futures",77.25,99.25,2006-03-07,52.25,2006-03-01,+34.35%,2006-07-21
2006-08-25,CSU06,"Soybean Crush September 2006 Futures",82.25,98.5,2006-08-09,53.75,2006-03-01,+46.22%,2006-08-25
2006-09-22,CSV06,"Soybean Crush October 2006 Futures",76.75,86.5,2006-07-06,47.5,2006-04-17,+48.31%,2006-09-22
2006-10-27,CSZ06,"Soybean Crush December 2006 Futures",80,86.25,2006-09-19,55,2006-04-17,+35.02%,2006-10-27
2006-12-21,CSF07,"Soybean Crush January 2007 Futures",66,83.75,2006-11-20,48.75,2006-02-27,+15.79%,2006-12-21
2007-02-23,CSH07,"Soybean Crush March 2007 Futures",59.5,78.5,2006-09-18,53.75,2006-03-27,+5.31%,2007-02-23
2007-04-20,CSK07,"Soybean Crush May 2007 Futures",64.75,79,2006-09-18,56.25,2006-12-18,+2.78%,2007-04-20
2007-06-22,CSN07,"Soybean Crush July 2007 Futures",63.25,81.25,2006-10-25,55.25,2006-12-26,-6.99%,2007-06-22
2007-07-27,CSQ07,"Soybean Crush August 2007 Futures",58.75,91.5,2007-01-12,50,2007-03-01,-4.86%,2007-07-27
2007-08-24,CSU07,"Soybean Crush September 2007 Futures",60.25,85,2006-11-02,54.25,2007-03-01,-17.47%,2007-08-24
2007-09-21,CSV07,"Soybean Crush October 2007 Futures",49.75,79.25,2006-11-09,43,2007-07-18,-33.00%,2007-09-21
2007-10-26,CSZ07,"Soybean Crush December 2007 Futures",70.75,86.5,2006-11-29,55,2007-05-22,-4.07%,2007-10-26
2007-12-21,CSF08,"Soybean Crush January 2008 Futures",63.25,99.5,2007-06-29,39,2007-08-28,0.00%,2007-12-21
2008-02-22,CSH08,"Soybean Crush March 2008 Futures",60,78,2008-02-06,42.5,2007-11-14,-9.43%,2008-02-22
2008-04-25,CSK08,"Soybean Crush May 2008 Futures",73,142.75,2008-03-31,34.5,2008-04-01,+4.29%,2008-04-25
2008-07-14,CSN08,"Soybean Crush July 2008 Futures",99.25,153.75,2008-04-01,4.5,2008-07-14,+67.51%,2008-07-14
2008-08-15,CSQ08,"Soybean Crush August 2008 Futures",74,179.5,2008-02-19,15,2008-07-28,+31.56%,2008-08-15
2008-08-27,CSU08,"Soybean Crush September 2008 Futures",58,197.25,2008-02-19,13.5,2008-03-19,-14.71%,2008-08-27
2008-10-14,CSV08,"Soybean Crush October 2008 Futures",83.25,197.75,2008-02-07,16.75,2008-08-25,+16.03%,2008-10-14
2008-11-14,CSX08,"Soybean Crush November 2008 Futures",64.75,80.25,2008-09-05,45.5,2008-10-31,-1.15%,2008-11-14
2008-11-14,CSZ08,"Soybean Crush December 2008 Futures",64.75,150.75,2008-03-31,17,2008-11-11,-11.00%,2008-11-14
2009-01-14,CSF09,"Soybean Crush January 2009 Futures",47.25,164,2008-03-31,9,2008-06-11,-46.46%,2009-01-14
2009-02-13,CSG09,"Soybean Crush February 2009 Futures",62.5,129.75,2008-08-08,6.25,2008-09-15,-25.37%,2009-02-13
2009-03-13,CSH09,"Soybean Crush March 2009 Futures",74.5,1048,2009-03-03,3.75,2008-12-02,-13.62%,2009-03-13
